A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 
-27	1005	-462	17.185	28.4113	-2.68625
-19	1056	-470	19.6088	32.0338	1.63625
-31	1037	-413	22.2163	23.3713	1.33875
10	901	-337	20.3525	7.53375	0.56
36	836	-272	13.7025	5.90625	2.09125
29	791	-242	15.1113	8.785	3.10625
76	795	-243	23.3625	15.3213	14.9625
96	834	-265	22.925	23.1175	20.9038
155	847	-293	10.5788	23.975	4.08625
166	860	-301	-4.34875	23.4238	-16.5288
122	879	-319	-15.015	23.5288	-18.1125
152	932	-333	-16.205	17.6225	-11.7863
180	977	-320	-13.72	8.3825	-6.48375
269	1148	-313	-11.0075	4.4275	1.95125
274	1209	-245	-9.03875	3.92875	5.50375
242	1153	-130	-6.92125	4.375	2.8875
218	958	-70	-5.8975	5.87125	6.37875
184	924	-46	-3.1325	5.9675	14.21
174	946	-73	-3.8675	2.905	15.575
157	833	-127	-7.0875	0.62125	12.3725
136	787	-156	-7.04375	2.7825	7.98875
186	835	-174	-5.95875	10.1763	2.19625
175	865	-186	-5.67875	13.5625	2.87
177	905	-207	0.04375	8.60125	5.25875
180	896	-214	7.9625	-10.36	-6.79875
199	894	-203	21.5338	-18.5325	-20.4838
219	936	-198	33.8362	-13.8075	-30.38
223	908	-210	32.27	-1.9425	-26.9238
225	930	-232	23.1263	6.25625	-16.9313
238	1127	-348	15.2688	9.1875	-8.95125
246	1191	-446	10.64	9.5025	-2.87
65	1016	-477	8.1725	7.105	-2.7825
12	992	-499	5.075	8.54875	-2.31875
92	1052	-489	6.02	12.4338	-0.875
15	1003	-421	12.2675	12.6963	-1.11125
-21	924	-327	22.6888	4.795	-0.48125
15	840	-253	21.5425	8.74125	-4.80375
-6	788	-220	14.3063	13.9125	-4.83
49	800	-226	12.7663	15.9338	10.6225
116	865	-252	8.77625	23.03	7.56875
97	888	-278	-0.7875	25.8038	-19.565
116	892	-278	-12.8625	22.5663	-40.5913
108	860	-289	-22.4525	13.7725	-41.615
54	913	-298	-27.4838	-1.32125	-32.235
65	953	-288	-26.6788	-16.66	-24.1325
162	1195	-282	-21.2188	-22.1113	-20.5538
107	1246	-184	-13.1075	-16.0825	-16.3188
135	1146	-38	-6.15125	-8.68	-12.0138
133	1017	23	-5.53875	-3.31625	-10.2638
22	982	29	-9.4675	-1.365	-8.95125
-2	942	-12	-11.9875	-1.09375	-9.38875
26	836	-79	-12.6438	-5.495	-12.1975
76	844	-149	-9.38875	-6.25625	-6.1075
120	855	-179	-7.7875	-2.80875	9.93125
98	857	-183	-4.3225	-6.65875	11.235
76	890	-191	2.9225	-20.7813	-8.68875
110	928	-203	13.3613	-30.0563	-23.3363
147	943	-216	21.035	-25.2788	-16.5638
195	969	-219	19.8188	-11.4713	-1.18125
179	928	-221	15.7063	-2.66875	6.02875
149	921	-255	11.6288	0.41125	8.435
203	1170	-365	10.6663	0.8575	13.16
176	1211	-450	9.73875	1.5225	19.3988
31	983	-478	7.83125	5.66125	22.9513
78	1019	-506	11.515	4.34	22.2075
114	1065	-496	11.2175	-3.22	25.2613
48	1003	-390	12.1975	-7.93625	26.74
13	858	-282	13.2038	-8.61875	11.8825
13	773	-217	25.06	-4.20875	2.94875
34	775	-196	25.4713	8.5225	6.85125
47	842	-214	8.35625	17.7975	-2.28375
79	847	-244	-9.275	17.7538	-21.4638
85	879	-265	-23.0213	18.7425	-21.4638
72	886	-278	-25.4275	19.3638	-4.62
33	943	-290	-21.5075	13.4575	7.6825
10	998	-279	-15.2163	5.55625	13.0113
64	1091	-269	-11.2263	2.58125	15.1375
104	1166	-209	-7.25375	2.12625	15.0763
133	1225	-118	-3.535	0.60375	14.8313
161	1101	-24	-2.6075	-1.3475	17.9463
114	962	21	-7.77875	-4.9525	12.1188
21	947	36	-14.5338	-2.45875	-0.63875
-8	891	9	-20.9213	0.60375	-16.1963
19	765	-60	-20.7375	3.5	-16.4938
120	831	-141	-2.765	-8.61875	-2.5375
164	875	-185	6.53625	-27.5538	-1.88125
143	902	-197	6.81625	-42.7	-6.64125
126	930	-198	11.585	-47.18	-8.2075
105	907	-196	14.0613	-36.68	-4.3925
134	949	-217	15.1375	-22.5225	2.52875
176	957	-242	15.0238	-15.8725	4.34875
188	977	-264	9.86125	-16.1263	-0.8925
217	1088	-333	3.28125	-21.2975	-6.02875
265	1176	-380	2.80875	-20.0463	-2.42375
130	1075	-419	6.58	-11.0163	2.345
-9	942	-466	11.9788	-2.0825	0.42875
128	1001	-486	12.2325	7.11375	-7.67375
133	1011	-480	10.7888	13.23	-14.3413
109	944	-407	18.095	9.9925	-14
109	858	-314	12.3463	16.1088	-9.42375
127	781	-278	-1.5225	23.3013	-18.375
162	772	-273	-16.24	27.335	-31.5
177	812	-285	-27.5013	30.2488	-28.14
198	837	-302	-27.895	28.7438	-14.6825
