#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[°C],hum[%RH],newData,interrupts,fsm1,fsm2,fsm3,fsm4,fsm5,fsm6,fsm7,fsm8,fsm9,fsm10,fsm11,fsm12,fsm13,fsm14,fsm15,fsm16,src0,src1,src2,src3,src4,src5,src6,src7,
10394075668,92,-44,650,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10394115100,81,-45,719,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10394154616,110,-83,913,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10394194040,198,-37,1198,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10394233565,242,-24,1376,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10394274645,244,72,1394,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10394312524,179,89,1185,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10394353278,125,31,919,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10394393021,108,-28,740,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10394432227,99,-42,677,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10394471743,85,-61,693,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10394511951,97,-78,827,,,,,,,,,,0x07a,,,,,,,,,,,,,,,,,,,,,,,,,,
10394552044,167,-58,1081,,,,,,,,,,0x00c,,,,,,,,,,,,,,,,,,,,,,,,,,
10394591468,210,-22,1301,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10394630996,197,73,1367,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10394670194,157,37,1193,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10394709935,114,10,955,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10394749140,70,-30,740,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10394788809,91,-118,696,,,,,,,,,,0x009,,,,,,,,,,,,,,,,,,,,,,,,,,
10394830119,108,-49,808,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10394869319,112,-25,1043,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10394908743,193,70,1350,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10394948268,178,114,1369,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10394987466,144,28,1107,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10395027216,101,-51,853,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
10395066414,99,-135,722,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10395106154,100,-70,729,,,,,,,,,,0x028,,,,,,,,,,,,,,,,,,,,,,,,,,
10395146916,76,-74,747,,,,,,,,,,0x058,,,,,,,,,,,,,,,,,,,,,,,,,,
10395186433,85,-84,940,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10395225861,158,5,1235,,,,,,,,,,0x078,,,,,,,,,,,,,,,,,,,,,,,,,,
10395265377,148,96,1338,,,,,,,,,,0x008,,,,,,,,,,,,,,,,,,,,,,,,,,
10395304801,137,107,1257,,,,,,,,,,0x038,,,,,,,,,,,,,,,,,,,,,,,,,,
10395344330,121,81,1090,,,,,,,,,,0x048,,,,,,,,,,,,,,,,,,,,,,,,,,
10395385083,94,33,916,,,,,,,,,,0x018,,,,,,,,,,,,,,,,,,,,,,,,,,
10395424833,99,0,833,,,,,,,,,,0x068,,,,,,,,,,,,,,,,,,,,,,,,,,
