A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
38.552 	 967.216 	 -208.864 	3.5 	 13.16 	 0.35 	
32.696 	 979.904 	 -211.304 	4.97 	 8.82 	 8.19 	
67.344 	 974.536 	 -215.696 	5.25 	 5.11 	 17.15 	
72.712 	 975.512 	 -223.992 	5.32 	 5.95 	 25.2 	
82.96 	 983.808 	 -216.184 	4.69 	 6.02 	 30.38 	
137.616 	 946.72 	 -214.232 	5.18 	 5.95 	 34.3 	
130.784 	 954.04 	 -211.304 	7.07 	 8.12 	 40.88 	
205.448 	 959.408 	 -220.576 	9.52 	 9.1 	 50.54 	
187.392 	 942.816 	 -223.016 	10.29 	 9.59 	 58.52 	
223.504 	 927.688 	 -223.992 	9.94 	 7.63 	 56.35 	
344.04 	 893.04 	 -255.712 	11.2 	 6.93 	 55.79 	
314.76 	 914.024 	 -237.168 	10.85 	 9.52 	 54.25 	
