STEVAL-MKI197V1 (LSM6DSOX)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	
-53 	 141 	 1077 	
-39 	 147 	 1031 	
-41 	 149 	 991 	
-35 	 155 	 955 	
-67 	 150 	 916 	
-49 	 150 	 904 	
-51 	 127 	 901 	
-38 	 108 	 954 	
-27 	 93 	 987 	
-25 	 96 	 1013 	
-48 	 90 	 994 	
-60 	 88 	 1020 	
-77 	 80 	 1049 	
-70 	 79 	 1062 	
-82 	 99 	 1075 	
-67 	 125 	 1066 	
-96 	 160 	 1087 	
-96 	 154 	 1064 	
-72 	 159 	 1043 	
-58 	 151 	 968 	
-24 	 144 	 946 	
-48 	 124 	 890 	
-1 	 100 	 862 	
-25 	 101 	 891 	
-24 	 92 	 901 	
-45 	 92 	 957 	
-55 	 91 	 1037 	
-91 	 117 	 1128 	
-95 	 114 	 1129 	
-86 	 135 	 1153 	
-83 	 142 	 1130 	
-72 	 138 	 1072 	
-45 	 137 	 1022 	
-55 	 140 	 971 	
-46 	 137 	 930 	
-53 	 133 	 897 	
-64 	 129 	 886 	
-38 	 117 	 904 	
-36 	 100 	 910 	
-37 	 103 	 944 	
-39 	 97 	 984 	
-79 	 110 	 1052 	
-67 	 135 	 1103 	
-105 	 141 	 1122 	
-99 	 159 	 1153 	
-66 	 142 	 1113 	
-26 	 143 	 1073 	
-20 	 154 	 1019 	
-41 	 137 	 940 	
-32 	 150 	 926 	
-54 	 137 	 891 	
-46 	 131 	 889 	
-49 	 125 	 903 	
-38 	 123 	 911 	
-60 	 122 	 929 	
-45 	 113 	 945 	
-58 	 120 	 1012 	
-51 	 128 	 1093 	
-9 	 152 	 1168 	
-81 	 153 	 1157 	
-55 	 167 	 1144 	
-81 	 154 	 1054 	
-48 	 168 	 1017 	
-40 	 157 	 948 	
-63 	 153 	 896 	
-37 	 137 	 885 	
-58 	 142 	 894 	
-11 	 106 	 890 	
-1 	 116 	 969 	
-15 	 111 	 967 	
-42 	 119 	 983 	
-95 	 123 	 1007 	
-53 	 123 	 1070 	
-98 	 123 	 1097 	
-38 	 134 	 1161 	
-40 	 144 	 1140 	
-32 	 144 	 1080 	
-33 	 159 	 1058 	
-50 	 151 	 993 	
-28 	 157 	 950 	
-61 	 139 	 869 	
-31 	 137 	 864 	
-20 	 113 	 865 	
-30 	 127 	 905 	
-19 	 116 	 914 	
-43 	 108 	 964 	
-24 	 115 	 1017 	
-82 	 136 	 1131 	
-83 	 144 	 1184 	
-101 	 148 	 1180 	
-75 	 148 	 1120 	
-46 	 144 	 1048 	
