A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
41.968 	 996.984 	 -105.896 	2.17 	 1.26 	 -1.75 	
25.864 	 981.856 	 -98.088 	2.94 	 0.84 	 1.4 	
31.232 	 992.104 	 -110.288 	3.29 	 -1.89 	 3.5 	
51.728 	 982.344 	 -114.192 	2.52 	 -2.87 	 2.8 	
57.096 	 989.664 	 -119.56 	2.38 	 -2.1 	 3.01 	
93.208 	 999.424 	 -125.904 	1.26 	 1.19 	 2.73 	
78.568 	 971.12 	 -119.56 	1.26 	 7.07 	 1.89 	
132.248 	 977.464 	 -115.656 	3.15 	 12.67 	 0.35 	
152.256 	 960.872 	 -134.688 	6.44 	 27.86 	 -4.9 	
204.472 	 993.568 	 -145.424 	7.84 	 45.15 	 -11.34 	
201.544 	 940.376 	 -180.072 	8.26 	 71.82 	 -22.61 	
67.832 	 961.36 	 -162.992 	10.36 	 88.06 	 -31.5 	
84.424 	 958.92 	 -169.824 	11.27 	 96.39 	 -36.96 	
-57.584 	 990.152 	 -163.48 	10.5 	 96.53 	 -38.92 	
-32.208 	 961.36 	 -172.264 	9.52 	 89.95 	 -27.16 	
-156.16 	 996.984 	 -164.944 	9.59 	 80.08 	 -19.95 	
-148.352 	 1037 	 -139.08 	5.95 	 58.31 	 -9.87 	
-175.192 	 987.712 	 -137.128 	1.12 	 37.8 	 -5.53 	
-133.224 	 1001.86 	 -114.68 	-1.19 	 11.62 	 -1.89 	
-123.464 	 971.608 	 -122.976 	-1.26 	 -7.07 	 1.54 	
-195.688 	 974.048 	 -112.24 	1.54 	 -29.75 	 4.41 	
53.192 	 1036.02 	 -144.448 	-1.4 	 -50.05 	 6.3 	
445.056 	 962.336 	 -223.016 	-5.11 	 -19.46 	 3.85 	
381.616 	 854 	 -272.304 	2.24 	 58.1 	 -7.84 	
-357.216 	 1096.05 	 -147.864 	6.23 	 83.44 	 -11.06 	
-599.752 	 1057.98 	 -61.488 	-7.14 	 14.56 	 -0.42 	
-184.464 	 964.776 	 -76.616 	-14.49 	 -69.86 	 6.65 	
610.488 	 826.184 	 -185.44 	-6.3 	 -64.26 	 5.18 	
452.864 	 897.432 	 -235.216 	14.63 	 30.8 	 -8.54 	
-336.232 	 1171.69 	 -139.08 	14.14 	 70.49 	 -8.68 	
-540.704 	 1045.3 	 -64.416 	-6.65 	 6.02 	 3.78 	
112.24 	 901.336 	 -108.824 	-8.68 	 -51.73 	 5.74 	
417.24 	 901.824 	 -193.736 	3.5 	 -21.49 	 -1.4 	
-49.776 	 1067.26 	 -173.728 	7.35 	 23.52 	 -6.23 	
-241.072 	 1029.19 	 -125.904 	-5.04 	 7.49 	 -1.33 	
33.672 	 953.552 	 -113.704 	-8.82 	 -13.37 	 -0.63 	
81.984 	 943.304 	 -133.712 	-1.19 	 -5.39 	 -0.28 	
5.368 	 988.688 	 -142.496 	3.5 	 5.39 	 -1.33 	
-19.52 	 1005.28 	 -139.568 	2.59 	 9.24 	 -1.89 	
-8.296 	 997.96 	 -145.424 	-0.98 	 9.24 	 -2.8 	
7.808 	 969.168 	 -139.568 	-2.1 	 11.97 	 -4.27 	
48.312 	 978.928 	 -147.864 	-1.12 	 17.22 	 -8.4 	
74.664 	 972.584 	 -150.792 	-0.63 	 29.82 	 -15.26 	
108.824 	 976 	 -161.04 	-1.26 	 48.51 	 -22.96 	
120.048 	 967.216 	 -184.952 	-3.08 	 74.34 	 -29.33 	
6.344 	 944.768 	 -193.248 	-2.59 	 96.46 	 -33.46 	
-31.72 	 960.384 	 -198.616 	-1.33 	 107.17 	 -34.16 	
-84.912 	 986.736 	 -196.176 	-1.89 	 109.9 	 -31.36 	
-70.272 	 984.784 	 -199.592 	-3.29 	 110.74 	 -25.41 	
-149.816 	 962.824 	 -189.832 	-3.99 	 108.29 	 -19.6 	
-157.624 	 964.776 	 -188.856 	-4.55 	 102.76 	 -15.61 	
-273.28 	 971.608 	 -151.768 	-3.36 	 86.1 	 -12.46 	
-237.168 	 1006.26 	 -131.272 	-4.2 	 60.13 	 -7.42 	
-244.976 	 981.856 	 -132.736 	-6.93 	 36.54 	 -1.4 	
-201.056 	 981.368 	 -117.12 	-7.21 	 14.28 	 2.03 	
-152.744 	 983.808 	 -104.432 	-7.49 	 -0.63 	 2.59 	
-110.776 	 968.192 	 -98.576 	-6.3 	 -9.31 	 1.75 	
-71.248 	 949.648 	 -104.92 	-3.36 	 -8.82 	 1.47 	
-79.544 	 982.832 	 -108.336 	-0.84 	 -8.05 	 2.66 	
-104.92 	 992.592 	 -116.144 	-0.56 	 -8.47 	 2.31 	
-69.784 	 1021.87 	 -108.336 	-1.54 	 -12.39 	 2.59 	
21.96 	 996.008 	 -126.88 	-4.13 	 -6.79 	 3.99 	
36.112 	 922.808 	 -126.392 	-1.47 	 12.11 	 4.69 	
-92.232 	 955.504 	 -130.784 	4.41 	 22.54 	 2.31 	
-441.152 	 1087.26 	 -74.176 	4.13 	 -2.59 	 2.31 	
-434.808 	 1028.7 	 -78.08 	-6.93 	 -67.62 	 6.02 	
47.336 	 972.096 	 -122.976 	-13.93 	 -106.96 	 8.26 	
385.032 	 908.656 	 -154.208 	-10.92 	 -72.52 	 8.82 	
380.64 	 893.04 	 -154.696 	2.94 	 6.37 	 3.64 	
127.368 	 944.28 	 -175.192 	16.1 	 75.88 	 -8.47 	
-354.288 	 1054.08 	 -135.664 	20.23 	 89.95 	 -16.03 	
-752.984 	 1167.78 	 -58.56 	0.63 	 20.51 	 -3.64 	
-245.952 	 979.416 	 -111.752 	-16.8 	 -74.13 	 3.15 	
312.32 	 915.976 	 -148.84 	-12.81 	 -77.42 	 5.88 	
350.872 	 900.848 	 -157.136 	-0.98 	 -9.31 	 6.02 	
27.816 	 937.936 	 -136.64 	7.84 	 46.69 	 -4.34 	
-361.12 	 1080.92 	 -82.472 	7.63 	 46.62 	 -6.58 	
-505.08 	 1031.14 	 -38.064 	-5.32 	 -19.04 	 3.29 	
166.896 	 910.608 	 -100.528 	-5.88 	 -50.96 	 5.32 	
309.88 	 923.296 	 -166.408 	4.83 	 -5.95 	 5.18 	
-160.552 	 1062.38 	 -107.848 	8.82 	 29.54 	 0.28 	
-302.072 	 1053.59 	 -79.056 	-2.1 	 6.58 	 -1.05 	
-62.952 	 956.48 	 -82.96 	-6.02 	 -22.82 	 -0.7 	
71.736 	 938.912 	 -101.016 	0.14 	 -17.99 	 2.17 	
-47.336 	 982.344 	 -101.016 	6.93 	 -3.08 	 3.5 	
-93.208 	 1017.97 	 -113.216 	4.62 	 -2.52 	 1.68 	
-63.928 	 1002.84 	 -104.432 	1.19 	 -6.86 	 0.14 	
-48.8 	 972.584 	 -98.088 	1.33 	 -7.35 	 -0.21 	
-43.432 	 970.632 	 -112.728 	2.1 	 -5.6 	 0.35 	
-26.84 	 990.64 	 -115.656 	3.15 	 -2.45 	 0.77 	
-58.56 	 976.976 	 -120.536 	3.5 	 0.77 	 0.14 	
-46.848 	 1003.82 	 -121.024 	2.8 	 1.33 	 -0.7 	
-100.528 	 989.176 	 -117.12 	1.19 	 0.98 	 1.12 	
