accX[mg]	accY[mg]	accZ[mg] 
713.7	-315.98	627.568
719.068	-315.004	634.156
713.944	-309.148	623.664
712.968	-313.54	627.324
722.728	-315.248	631.228
708.576	-309.392	615.368
718.58	-312.32	634.156
726.876	-303.292	617.808
717.36	-317.688	622.932
717.116	-312.076	626.836
724.436	-309.88	627.568
714.92	-304.024	620.736
728.096	-315.248	627.568
719.312	-299.388	615.124
716.872	-315.98	627.812
726.876	-305	626.104
716.628	-303.292	609.756
726.632	-309.392	625.372
717.848	-310.124	628.3
716.384	-313.296	622.932
720.532	-309.148	624.884
722.728	-306.464	618.296
718.58	-308.416	626.104
721.264	-302.072	625.128
723.46	-318.176	629.52
716.384	-307.44	618.052
726.388	-309.88	625.372
724.436	-305	621.224
718.092	-300.364	620.248
724.924	-308.904	632.936
717.848	-302.072	617.808
719.8	-307.684	628.544
730.78	-304.268	620.98
723.216	-304.756	612.928
731.268	-307.196	631.228
720.288	-301.828	615.368
723.948	-312.076	629.276
725.656	-299.632	620.98
719.312	-307.684	616.344
729.072	-300.12	618.052
729.072	-305.488	619.76
730.048	-303.536	618.784
726.632	-301.584	613.66
722.728	-308.66	621.956
732.488	-302.316	620.248
733.464	-304.756	608.048
732.244	-308.172	612.196
731.512	-297.436	612.44
733.708	-306.22	618.784
726.876	-298.412	610
735.416	-305.976	617.564
733.952	-301.34	610.732
728.096	-303.292	608.78
739.564	-297.924	609.024
734.928	-305.244	610.488
728.828	-300.852	607.804
734.44	-300.12	609.268
739.076	-305.732	611.708
735.172	-305	607.316
737.368	-304.512	606.584
740.052	-307.928	609.268
727.852	-297.924	609.756
734.196	-311.1	615.856
731.756	-299.876	606.096
738.1	-304.268	603.168
739.808	-301.828	603.9
730.048	-305.244	600.484
732.976	-300.364	610.732
738.344	-304.512	610.244
741.272	-303.048	602.192
740.784	-310.856	607.316
727.852	-304.024	610.488
721.752	-315.492	616.832
737.368	-316.712	610.732
749.08	-304.268	591.944
755.18	-307.196	601.704
729.316	-296.216	600.972
725.168	-292.8	611.464
730.536	-295.728	598.044
748.104	-313.296	595.604
755.912	-298.412	599.996
746.152	-305	599.264
744.2	-300.852	606.096
736.392	-306.708	603.412
740.296	-304.024	604.144
741.76	-303.536	598.044
749.812	-294.752	596.824
747.372	-298.168	594.628
743.712	-294.508	600.972
737.368	-315.004	614.148
748.104	-302.804	596.824
735.66	-299.144	586.82
756.888	-277.916	594.14
740.052	-309.148	592.432
732.976	-315.492	611.708
744.2	-312.808	604.876
754.204	-295.24	593.896
748.592	-295.728	579.5
743.468	-295.728	606.828
732.488	-311.344	605.852
734.684	-300.608	602.924
744.932	-306.708	597.8
759.572	-294.02	590.236
747.128	-297.192	586.332
734.44	-315.98	616.588
739.076	-299.876	613.416
736.636	-305.488	587.796
750.788	-294.508	591.7
