@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute class {boat, bow, bridge, child, cobra, DFD, medita, plank, SFB, SM, SS, TESA, tree, UP}

@data
-1, 0.0245819, -0.2229, SM
-0.964355, 0.0390015, 0.130981, SM
-0.969727, -0.0350647, 0.254883, SM
-0.962891, -0.167236, -0.0471191, SM
-0.950684, -0.328613, -0.227905, SM
-0.981934, -0.19873, -0.102234, SM
-0.992188, -0.00939941, 0.0421448, SM
-0.986328, -0.0988159, 0.119019, SM
-0.956543, -0.277588, 0.223999, SM
-0.911621, -0.323242, 0.284668, SM
-0.98877, -0.179321, -0.00482941, SM
-0.962891, -0.222046, -0.213013, SM
-0.992188, -0.211548, -0.269287, SM
-0.931152, -0.135132, -0.192505, SM
-0.961914, -0.161865, -0.174927, SM
-0.963867, -0.212646, -0.235474, SM
-0.95752, -0.237793, -0.206055, SM
-0.953125, -0.23584, -0.196045, SM
-0.949219, -0.24353, -0.235474, SM
-1.01758, -0.109253, 0.0579834, SS
-0.999023, -0.0934448, 0.0544434, SS
-1, -0.049469, 0.059967, SS
-1, -0.0146713, 0.0477295, SS
-1, 0.0245514, 0.0366821, SS
-1, 0.0271301, 0.0519104, SS
-1, 0.00470734, 0.0866699, SS
-1, 0.00540161, 0.088623, SS
-1, 0.00475311, 0.0896606, SS
-1, 0.00360107, 0.0909424, SS
-1, 0.00599289, 0.0876465, SS
-1, 0.00127792, 0.0725098, SS
-1.00098, -0.00369453, 0.0294342, SS
-1, -0.0252686, -0.040863, SS
-0.999023, -0.0275116, -0.0878906, SS
-1, -0.0226593, -0.0845947, SS
-1, -0.0170135, -0.0830688, SS
-1, -0.00936127, -0.0849609, SS
-1, -0.0071907, -0.0824585, SS
-1, 0.0078125, -0.0685425, SS
-1, 0.0208282, -0.0574036, SS
-1, 0.019455, -0.0541382, SS
-1, 0.0196075, -0.0528259, SS
-1, 0.0145035, -0.0913696, SS
-0.993164, 0.0174255, -0.148682, SS
-0.998047, 0.00854492, -0.125854, SS
-0.998535, 0.00735855, -0.119995, SS
-0.998535, 0.00572586, -0.116943, SS
-0.999023, 0.00597382, -0.112671, SS
-0.999023, 0.00783539, -0.107605, SS
-0.999023, 0.00891876, -0.105469, SS
-1, 0.0107193, -0.105042, SS
-0.999023, 0.0129547, -0.109558, SS
